,RATE A,,RATE B,,RATE C,
01/09/2568 20.15,376,,,,,
01/09/2568 20.30,368,,,,,
01/09/2568 20.45,368,,,,,
01/09/2568 21.00,368,,,,,
01/09/2568 21.15,360,,,,,
01/09/2568 21.30,352,,,,,
01/09/2568 21.45,328,,,,,
01/09/2568 22.00,288,,,,,
01/09/2568 22.15,,,280,,,
01/09/2568 22.30,,,280,,,
01/09/2568 22.45,,,280,,,
01/09/2568 23.00,,,280,,,
01/09/2568 23.15,,,280,,,
01/09/2568 23.30,,,264,,,
01/09/2568 23.45,,,256,,,
01/09/2568 24.00,,,248,,,
02/09/2568 00.15,,,232,,,
02/09/2568 00.30,,,232,,,
02/09/2568 00.45,,,232,,,
02/09/2568 01.00,,,232,,,
02/09/2568 01.15,,,256,,,
02/09/2568 01.30,,,272,,,
02/09/2568 01.45,,,272,,,
02/09/2568 02.00,,,272,,,
02/09/2568 02.15,,,264,,,
02/09/2568 02.30,,,272,,,
02/09/2568 02.45,,,256,,,
02/09/2568 03.00,,,248,,,
02/09/2568 03.15,,,240,,,
02/09/2568 03.30,,,240,,,
02/09/2568 03.45,,,232,,,
02/09/2568 04.00,,,232,,,
02/09/2568 04.15,,,232,,,
02/09/2568 04.30,,,232,,,
02/09/2568 04.45,,,232,,,
02/09/2568 05.00,,,232,,,
02/09/2568 05.15,,,232,,,
02/09/2568 05.30,,,232,,,
02/09/2568 05.45,,,232,,,
02/09/2568 06.00,,,248,,,
02/09/2568 06.15,,,256,,,
02/09/2568 06.30,,,264,,,
02/09/2568 06.45,,,264,,,
02/09/2568 07.00,,,256,,,
02/09/2568 07.15,,,240,,,
02/09/2568 07.30,,,240,,,
02/09/2568 07.45,,,256,,,
02/09/2568 08.00,,,264,,,
02/09/2568 08.15,,,312,,,
02/09/2568 08.30,,,360,,,
02/09/2568 08.45,,,440,,,
02/09/2568 09.00,,,480,,,
02/09/2568 09.15,496,,,,,
02/09/2568 09.30,536,,,,,
02/09/2568 09.45,536,,,,,
02/09/2568 10.00,504,,,,,
02/09/2568 10.15,456,,,,,
02/09/2568 10.30,488,,,,,
02/09/2568 10.45,536,,,,,
02/09/2568 11.00,552,,,,,
02/09/2568 11.15,552,,,,,
02/09/2568 11.30,528,,,,,
02/09/2568 11.45,472,,,,,
02/09/2568 12.00,408,,,,,
02/09/2568 12.15,352,,,,,
02/09/2568 12.30,352,,,,,
02/09/2568 12.45,352,,,,,
02/09/2568 13.00,352,,,,,
02/09/2568 13.15,416,,,,,
02/09/2568 13.30,528,,,,,
02/09/2568 13.45,544,,,,,
02/09/2568 14.00,560,,,,,
02/09/2568 14.15,544,,,,,
02/09/2568 14.30,528,,,,,
02/09/2568 14.45,528,,,,,
02/09/2568 15.00,488,,,,,
02/09/2568 15.15,456,,,,,
02/09/2568 15.30,512,,,,,
02/09/2568 15.45,536,,,,,
02/09/2568 16.00,520,,,,,
02/09/2568 16.15,528,,,,,
02/09/2568 16.30,520,,,,,
02/09/2568 16.45,488,,,,,
02/09/2568 17.00,464,,,,,
02/09/2568 17.15,400,,,,,
02/09/2568 17.30,392,,,,,
02/09/2568 17.45,472,,,,,
02/09/2568 18.00,552,,,,,
02/09/2568 18.15,568,,,,,
02/09/2568 18.30,552,,,,,
02/09/2568 18.45,520,,,,,
02/09/2568 19.00,480,,,,,
02/09/2568 19.15,472,,,,,
02/09/2568 19.30,472,,,,,
02/09/2568 19.45,480,,,,,
02/09/2568 20.00,456,,,,,
02/09/2568 20.15,400,,,,,
02/09/2568 20.30,400,,,,,
02/09/2568 20.45,376,,,,,
02/09/2568 21.00,360,,,,,
02/09/2568 21.15,352,,,,,
02/09/2568 21.30,336,,,,,
02/09/2568 21.45,320,,,,,
02/09/2568 22.00,280,,,,,
02/09/2568 22.15,,,256,,,
02/09/2568 22.30,,,256,,,
02/09/2568 22.45,,,264,,,
02/09/2568 23.00,,,264,,,
02/09/2568 23.15,,,264,,,
02/09/2568 23.30,,,264,,,
02/09/2568 23.45,,,256,,,
02/09/2568 24.00,,,240,,,
03/09/2568 00.15,,,232,,,
03/09/2568 00.30,,,224,,,
03/09/2568 00.45,,,224,,,
03/09/2568 01.00,,,224,,,
03/09/2568 01.15,,,240,,,
03/09/2568 01.30,,,248,,,
03/09/2568 01.45,,,256,,,
03/09/2568 02.00,,,256,,,
03/09/2568 02.15,,,256,,,
03/09/2568 02.30,,,256,,,
03/09/2568 02.45,,,256,,,
03/09/2568 03.00,,,240,,,
03/09/2568 03.15,,,240,,,
03/09/2568 03.30,,,240,,,
03/09/2568 03.45,,,232,,,
03/09/2568 04.00,,,232,,,
03/09/2568 04.15,,,232,,,
03/09/2568 04.30,,,232,,,
03/09/2568 04.45,,,232,,,
03/09/2568 05.00,,,232,,,
03/09/2568 05.15,,,232,,,
03/09/2568 05.30,,,232,,,
03/09/2568 05.45,,,232,,,
03/09/2568 06.00,,,240,,,
03/09/2568 06.15,,,248,,,
03/09/2568 06.30,,,256,,,
03/09/2568 06.45,,,256,,,
03/09/2568 07.00,,,248,,,
03/09/2568 07.15,,,248,,,
03/09/2568 07.30,,,240,,,
03/09/2568 07.45,,,248,,,
03/09/2568 08.00,,,264,,,
03/09/2568 08.15,,,336,,,
03/09/2568 08.30,,,416,,,
03/09/2568 08.45,,,480,,,
03/09/2568 09.00,,,496,,,
03/09/2568 09.15,536,,,,,
03/09/2568 09.30,552,,,,,
03/09/2568 09.45,544,,,,,
03/09/2568 10.00,520,,,,,
03/09/2568 10.15,456,,,,,
03/09/2568 10.30,536,,,,,
03/09/2568 10.45,584,,,,,
03/09/2568 11.00,560,,,,,
03/09/2568 11.15,552,,,,,
03/09/2568 11.30,504,,,,,
03/09/2568 11.45,480,,,,,
